,City,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed
479,Pemba,-12.97,40.52,79.39,83,1,17.6
480,Savannakhet,16.57,104.75,81.46,63,84,5.88
481,Tarakan,3.3,117.63,80.64,77,25,6.78
482,Honiara,-9.43,159.95,77.0,94,75,2.24
483,Ribeira Grande,38.52,-28.7,64.4,82,40,5.82
484,Vincennes,48.85,2.43,71.83,37,47,9.17
485,West Bay,19.37,-81.42,86.02,66,40,6.17
486,Taylor,32.3,-99.83,68.27,40,1,12.75
487,La Asuncion,11.03,-63.86,89.6,59,81,18.34
488,Klaksvík,62.23,-6.59,44.6,87,100,16.11
489,Verkh-Usugli,52.7,115.17,32.47,57,0,2.33
490,Fare,-16.7,-151.02,83.48,75,55,8.95
491,Roald,62.58,6.13,39.74,75,75,10.29
492,Khorramabad,33.49,48.36,57.63,44,21,4.25
493,High Rock,26.62,-78.28,84.2,70,40,17.22
494,Grand Gaube,-20.01,57.66,78.31,78,40,8.05
495,Danielskuil,-28.19,23.54,68.45,34,29,11.74
496,Los Aquijes,-14.1,-75.69,75.49,30,40,11.41
497,Canavieiras,-15.68,-38.95,80.51,85,92,2.19
498,Bathsheba,13.22,-59.52,86.0,62,20,16.11
499,Tiznit Province,29.58,-9.5,65.73,54,58,7.56
500,Yarmouth,41.71,-70.23,47.5,49,40,13.87
501,Vao,-22.67,167.48,73.85,76,90,12.12
502,Rønne,55.1,14.71,42.8,81,48,14.99
503,Abay,49.63,72.85,24.8,92,67,4.47
504,Urdoma,61.75,48.54,29.5,96,100,8.77
505,Ostrovnoy,68.05,39.51,14.58,95,34,9.31
506,Port Lincoln,-34.73,135.87,59.83,72,62,17.43
507,Beringovskiy,63.05,179.32,5.32,94,100,15.43
508,Pachino,36.72,15.09,56.32,51,13,5.82
509,Opatovice nad Labem,50.15,15.79,55.11,38,56,3.36
510,Tsumeb,-19.23,17.72,69.35,48,29,9.04
511,Polovinnoye,54.79,65.99,38.03,75,0,11.48
512,Bibbiena,43.7,11.81,64.76,24,0,4.7
513,Kilgore,32.39,-94.88,66.4,36,1,6.93
514,Dovolnoye,54.5,79.67,28.42,93,61,10.02
515,Russell,32.35,-85.2,66.33,24,1,10.29
516,Walvis Bay,-22.96,14.51,69.01,78,5,1.99
517,Waterloo,43.47,-80.52,40.14,55,75,19.46
518,Carballo,43.21,-8.69,56.32,93,90,4.7
519,Dandong,40.13,124.39,42.91,59,0,2.51
520,Otaki,-40.76,175.15,47.35,87,0,13.87
521,Bonthe,7.53,-12.51,84.42,76,55,10.56
522,Miles City,46.41,-105.84,55.4,32,1,5.82
523,Samaná,19.21,-69.34,93.2,59,40,6.93
524,Wysokie Mazowieckie,52.92,22.52,46.62,40,90,35.01
525,Susanville,40.42,-120.65,53.78,50,1,5.82
526,Musoma,-1.5,33.8,75.2,69,40,7.0
527,Port Blair,11.67,92.75,82.31,70,75,7.74
528,Hohhot,40.81,111.65,30.2,68,28,4.47
529,Udachny,66.42,112.4,24.8,62,12,8.95
530,Thinadhoo,0.53,72.93,84.99,59,0,3.2
531,La Ronge,55.1,-105.28,30.2,68,90,19.46
532,Joshīmath,30.57,79.57,46.62,23,97,5.73
533,Maniitsoq,65.42,-52.9,35.2,84,63,10.92
534,Hambantota,6.12,81.12,81.55,80,8,10.87
535,Pechenga,69.53,31.17,24.8,79,83,24.16
536,Cuajinicuilapa,16.47,-98.42,96.69,25,0,10.25
537,Preobrazheniye,42.9,133.91,39.13,70,77,5.01
538,Olavarría,-36.89,-60.32,66.99,62,0,4.0
539,Bubaque,11.28,-15.83,79.27,72,5,13.73
540,Dumai,1.68,101.45,75.29,68,56,3.11
541,Katete,-0.78,29.75,68.76,57,94,4.21
542,Gizo Government Station,-8.1,156.84,80.98,81,35,6.98
543,Beira,-19.84,34.84,78.8,69,40,9.17
544,Hamilton,39.18,-84.53,44.71,42,75,10.29
545,Kiryat Gat,31.61,34.76,56.37,77,75,4.7
546,Merauke,-8.47,140.33,76.95,90,99,9.8
547,Krasnoarmiys'k,48.28,37.18,50.88,79,86,10.47
548,Rūdbār,30.15,62.6,79.45,25,100,6.17
549,Kawhia,-38.07,174.82,41.85,98,1,4.25
550,Kanadey,53.17,47.53,47.08,58,97,13.15
551,Najrān,17.49,44.13,86.0,27,40,11.41
552,Shihezi,44.3,86.03,49.46,41,100,6.35
553,Pedernales,18.04,-71.74,89.6,62,40,18.34
554,Serenje,-13.23,30.24,60.51,65,52,5.3
555,Invermere,50.52,-116.04,46.53,52,87,0.27
556,Teguise,29.06,-13.56,73.4,53,20,20.8
